지점,일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
22445,2010-01-01 00:00,15.9,0,0,0,0
22445,2010-12-26 22:00,5.5,3.3,2.5,1.6,9
22445,2010-12-26 23:00,5.4,2.8,2,1.3,7.6
22445,2010-12-27 13:00,5.4,1.2,1.1,.7,6.2
22445,2010-12-27 16:00,5.9,2.1,1.4,.9,5.8
22445,2010-12-27 17:00,5.8,2.1,1.4,.9,6.2
22445,2010-12-27 18:00,5.9,1.9,1.3,.8,6.2
22445,2010-12-27 19:00,6,1.8,1.2,.7,6.5
22445,2010-12-27 20:00,5.9,1.9,1.5,.9,7.7
22445,2010-12-27 21:00,6.2,2.5,2.1,1.3,9.4
22445,2010-12-27 22:00,6.2,3.1,2.2,1.4,9.5
22445,2010-12-27 23:00,5.9,1.8,1.1,.7,5.9
22445,2010-12-28 00:00,5.9,1.1,.8,.5,5
22445,2010-12-28 01:00,6,1.2,.8,.5,5.4
22445,2010-12-28 02:00,6,1.3,1.1,.7,5.6
22445,2010-12-28 03:00,5.9,1.8,1.2,.8,5.4
22445,2010-12-28 04:00,6,2,1.4,.9,5.4
22445,2010-12-28 05:00,5.9,2.4,1.6,1,5.8
22445,2010-12-28 06:00,5.9,1.8,1.3,.8,5.8
22445,2010-12-28 07:00,6.2,1.4,1.1,.7,6
22445,2010-12-28 08:00,6,2,1.4,.8,7.1
22445,2010-12-28 09:00,6.2,3.3,2.2,1.4,9.5
22445,2010-12-28 10:00,6.2,3.7,2.2,1.4,8.1
22445,2010-12-28 11:00,6,2.4,1.9,1.2,6.9
22445,2010-12-28 12:00,5.9,1.7,1,.7,5.6
22445,2010-12-28 13:00,6,2.7,1.8,1.1,6.2
22445,2010-12-28 14:00,5.9,3.1,2,1.3,6.5
22445,2010-12-28 15:00,6.1,3.6,2.6,1.6,6.8
22445,2010-12-28 16:00,6.1,3.8,3,1.9,6.9
22445,2010-12-28 17:00,6.1,3.4,2.6,1.6,7.3
22445,2010-12-28 18:00,5.9,3.6,2.7,1.6,7.7
22445,2010-12-28 19:00,6,4,3.1,1.9,8
22445,2010-12-28 20:00,6,3.2,2.8,1.8,7.9
22445,2010-12-28 21:00,6,4.9,3.6,2.2,8.8
22445,2010-12-28 22:00,6,4.5,3.4,2.1,9
22445,2010-12-28 23:00,5.7,3.4,2.7,1.6,8.9
22445,2010-12-29 00:00,5.7,2.3,1.7,1.1,7.5
22445,2010-12-29 01:00,5.7,3.5,2.4,1.5,8.5
22445,2010-12-29 02:00,5.8,3,1.9,1.2,7.8
22445,2010-12-29 03:00,5.7,2.8,2.2,1.4,7.8
22445,2010-12-29 04:00,6.2,4.2,2.4,1.5,7.9
22445,2010-12-29 05:00,6,3.2,2.5,1.6,8
22445,2010-12-29 06:00,6,2.7,2.1,1.3,7.6
22445,2010-12-29 07:00,6.1,2.3,1.9,1.2,7.6
22445,2010-12-29 08:00,6.4,1.9,1.5,.9,7.8
22445,2010-12-29 09:00,6.1,2.3,1.5,.9,7.9
22445,2010-12-29 10:00,6,2.8,2.1,1.3,8.8
22445,2010-12-29 11:00,5.9,3.1,2.4,1.6,8.9
22445,2010-12-29 12:00,6,2.1,1.7,1,7.7
22445,2010-12-29 13:00,5.9,1.4,1.2,.8,7
22445,2010-12-29 14:00,6,1,.8,.5,6.6
22445,2010-12-29 15:00,5.9,1.2,.8,.5,6.7
22445,2010-12-29 16:00,6.1,1.3,1,.7,7.2
22445,2010-12-29 17:00,5.9,1,.8,.5,6.1
22445,2010-12-29 18:00,6,1.1,.8,.5,6
22445,2010-12-29 19:00,5.8,1,.8,.5,5.8
22445,2010-12-29 20:00,5.6,1,.7,.4,5.8
22445,2010-12-29 21:00,5.7,.8,.6,.4,5.7
22445,2010-12-29 22:00,5.9,.8,.6,.4,5.6
22445,2010-12-29 23:00,6,1.1,.7,.4,5.9
22445,2010-12-30 00:00,5.8,2.2,1.7,1.1,11.3
22445,2010-12-30 01:00,5.9,.9,.6,.4,5
22445,2010-12-30 02:00,5.8,1.7,1.4,.8,4.5
22445,2010-12-30 03:00,5.8,3.7,2.5,1.5,6.2
22445,2010-12-30 04:00,5.5,4.4,3,1.8,7.3
22445,2010-12-30 05:00,5.5,5.2,3.6,2.2,8.2
22445,2010-12-30 06:00,5.5,5.5,4.3,2.5,8.7
22445,2010-12-30 07:00,5.5,5.6,3.7,2.2,8.4
22445,2010-12-30 08:00,5.4,3.7,2.6,1.6,8.2
22445,2010-12-30 09:00,5.4,2.6,2,1.2,7.5
22445,2010-12-30 10:00,5.5,3.1,2.2,1.5,8.2
22445,2010-12-30 11:00,5.7,4.6,3.7,2.4,9.4
22445,2010-12-30 12:00,5.8,5.5,4.6,3,9.1
