지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
21229,2012-01-01,8.3,1017.9,67,6.6,14.5,3.2,2,4.7,7.8,4.5,7.1
21229,2012-01-02,8.6,1022.2,64,3.9,12.6,4.9,2.9,4.3,7.7,5.7,9.1
21229,2012-01-03,7,1016.2,66,5.2,13.8,2.9,1.8,2.2,3.7,4.6,8
21229,2012-01-04,11.5,1017,74,3.7,13.3,4.9,3,3.9,6.2,4.3,5.3
21229,2012-01-05,7.3,1022.9,54,5.4,13.8,3.4,2.1,2.6,4.5,5,9.1
21229,2012-01-06,8.1,1026.8,60,5.1,13.5,3.4,2.1,2.9,4.5,5,9.1
21229,2012-01-07,6.2,1032.9,54,4.6,13.4,3.1,1.9,2.4,4,5.3,9.1
21229,2012-01-08,5.2,1028.5,54,7.6,13.8,2.2,1.3,1.6,2.7,4.8,9.1
21229,2012-01-09,7,1025.5,48,7.1,13.6,2.3,1.4,1.7,2.9,3.4,7.1
21229,2012-01-10,5,1022.5,51,7.3,13.5,1.8,1.1,1.4,2.2,3.6,6.4
21229,2012-01-11,9.4,1024.7,75,2.6,13.3,5.1,3.2,4.9,7.1,4.6,7.1
21229,2012-01-12,4.5,1023.5,47,5,13.3,2.8,1.6,2.6,4.3,4.7,9.1
21229,2012-01-13,9,1020.1,60,5.7,13.6,2.8,1.7,2.1,3.7,3.6,8
21229,2012-01-14,7.5,1019.8,49,5.7,13.3,2.7,1.6,2.2,3.7,4,8
21229,2012-01-15,7.3,1019.8,61,5.7,13.2,2.6,1.7,2.1,3.4,3.9,7.1
21229,2012-01-16,6.7,1019.7,57,7.2,13,2.4,1.5,1.7,2.8,3.2,5.8
21229,2012-01-17,4,1020.5,59,8.3,12.9,1.5,.9,1.4,2.3,3,6.4
21229,2012-01-18,4.7,1021.9,64,9.1,13,1.7,1,1.5,3.1,3.2,5.8
21229,2012-01-19,10.2,1022.7,61,10.1,12.5,3.2,2,2.5,4.2,3.7,6.4
21229,2012-01-20,8.4,1022.5,55,9.3,12.5,3.3,2,2.4,4.4,3.8,7.1
21229,2012-01-21,5.5,1019.7,68,8,12.3,2.8,1.7,2.2,3.5,4,8
21229,2012-01-22,8,1016.3,69,6.3,12.4,4.9,3,4.8,8,5.1,9.1
21229,2012-01-23,8.4,1018.1,86,1.1,11.9,5.4,3.3,3.8,6.8,5.2,9.1
21229,2012-01-24,8.5,1018.8,62,.8,12.3,3.9,2.3,3,5.4,4.3,8
21229,2012-01-25,9.8,1017.5,71,.4,11.7,3.7,2.3,2.7,4.5,4.1,7.1
21229,2012-01-26,8.5,1021.6,52,3.3,11.9,3.1,1.9,2.6,4.1,3.6,7.1
21229,2012-01-27,7.5,1022,44,6,12.1,2.4,1.4,1.9,3.5,3.2,7.1
21229,2012-01-28,5.3,1024.5,62,4.6,11.9,2.8,1.7,2.5,4.2,3.6,7.1
21229,2012-01-29,6.3,1025.6,79,2.5,11.4,3.6,2.2,3.3,4.7,4,8
21229,2012-01-30,7.2,,56,2.4,11,3.3,2,2.3,4.1,4.8,9.1
21229,2012-01-31,9.6,1018.4,55,3.8,10.5,3.3,2.1,3.9,6,4.1,8
21229,2012-02-01,11.4,1016,74,-.1,9.6,5.4,3.3,4,6.9,5.4,10.7
21229,2012-02-02,10.6,1021.4,73,-1.7,9.9,5.6,3.2,3.6,7.3,5.5,9.1
21229,2012-02-03,6.4,1020.4,45,1.7,9.7,3,1.9,2.8,4,4.9,9.1
21229,2012-02-04,7.7,1022.2,45,4,9.2,3.6,2.1,3.2,5.7,4.4,8
