지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
21229,2011-12-28,,울릉도,,대구(구 143),37.4554,131.1144,,,,,
22101,1996-07-01,,덕적도,,인천기상대(112),37.2361,126.0188,,,,,
22102,1996-07-01,,칠발도,,목포기상대(165),34.7933,125.7769,,,,,
22103,1997-05-01,,거문도,,광주지방기상청(156),34.0014,127.5014,,,,,
22104,1998-05-01,,거제도,,부산지방기상청(159),34.7667,128.900,,,,,
22105,2001-04-01,,동해,,강릉(구 105),37.5442,130.000,,,,,
22106,2008-11-15,,포항,,대구(구 143),36.350,129.7833,,,,,
22107,2008-11-15,,마라도,,제주지방기상청(184),33.0833,126.0333,,,,,
22108,2009-10-21,,외연도 ,,대전지방기상청(133),36.250,125.750,,,,,
22183,2013-06-21,,신안,,목포기상대(165),34.7333,126.2417,,,,,
22184,2014-01-14,,추자도,,제주지방기상청(184),33.7936,126.1411,,,,,
22185,2015-12-22,,인천,,인천기상대(112),37.0917,125.4289,,,,,
22186,2015-12-22,,부안,,전주기상대(146),35.6586,125.8139,,,,,
22187,2015-12-22,,서귀포,,제주지방기상청(184),33.1281,127.0228,,,,,
22188,2015-12-22,,통영,,부산지방기상청(159),34.3917,128.225,,,,,
22189,2015-12-22,,울산,,울산기상대(152),35.3453,129.8414,,,,,
22190,2015-12-09,,울진,,대구(구 143),36.9069,129.8744,,,,,
22191,2019-11-05,,서해170,,대전지방기상청(133),36.1333,124.0569,,,,,
22192,2019-11-02,,서해206,,광주지방기상청(156),34.000,123.2625,,,,,
22193,2019-12-09,2020-02-24,가거도,,광주지방기상청(156),34.0275,125.2147,,,,,
22194,2019-12-09,2020-02-24,홍도,,광주지방기상청(156),34.7467,125.2456,,,,,
22297,2020-02-24,,가거도,,광주지방기상청(156),34.0275,125.2147,,,,,
22298,2020-02-24,,홍도,,광주지방기상청(156),34.7467,125.2456,,,,,
22299,2020-11-25,,서해190,,광주지방기상청(156),35.000,124.130,,,,,
22300,2020-11-25,,남해239,,제주지방기상청(184),32.830,124.730,,,,,
22301,2021-09-15,,남해465,,제주지방기상청(184),31.6667,126.400,,,,,
22302,2021-09-15,,동해78,,대구(구 143),36.9667,130.5167,,,,,
22303,2021-08-27,,풍도,,,37.160,126.410,,,,,
22441,2016-12-20,,독도,,대구(구 143),37.2372,131.8694,,,,,
22441,2011-11-15,2016-12-20,독도,,대구(구 143),37.2386,131.8714,,,,,
22442,2010-12-27,,혈암,,대구(구 143),37.5414,130.8542,,,,,
22443,2010-12-27,,구암,,대구(구 143),37.4789,130.8044,,,,,
22444,2010-12-28,,신진도,,,36.6068,126.1261,,,,,
22445,2010-12-26,,삽시도,,대전지방기상청(133),36.370,126.335,,,,,
22446,2010-12-29,2016-01-15,말도,,전주기상대(146),35.8559,126.3126,,,,,
